user,tweet
harsh_photosensitive,"@zafarsareshwala Sir it is not about #CAA_NRC 
It is something else
Haven't you heard the slogans at #ShaheenBaghProtests"
Arunima Pandey Mishra,"@Zaheen110 @narendramodi @Anurag_Office @DelhiPolice जो तर्क करना नहीं जानते, बल्कि तर्क से नफ़रत करते हैं, उनका गो… https://t.co/beO06uXGnX"
Aazad Bhāratiya,"Bengal: TMC leader Tahiruddin Opens Fire At The Protesters In An Anti-CAA Rally, Killing Two People https://t.co/5LSjec6h9m via @swarajyamag"
Zorba,"@DelhiPolice , sharam aati hai? कहां आती होगी, पुराने बेशरम हो तुम लोग।

#जामिया #JamiaProtests
#JamiaViolence #CAA_NRCProtests"
ny_999,"@ndtv At first I thought this guy was #DelhiPolice  new commissioner, then I saw the news that the commissioner ten… https://t.co/aMvModRwbc"
Naseem Ali,State sponsored hindu terrorist - Gopal firing a shot at innocent students protesting against CAA at Jamia in Delhi. https://t.co/kOA4rRKIiQ
Mohammed ZainuAbedin,"India's new Nathuram Godse saying, ""Yeh lo azaadi...Jai Shri Ram...Delhi Police zindabad.""
Fired against Anti CAA P… https://t.co/qya58jpHYc"
Harry Potter,"@umashankarsingh @ajitanjum This man was part of the student mob

Why didn't he fire when he was part of mob ?
He w… https://t.co/LMVWELH8bI"
alok raj,"@NehaErina @Vivekma51127911 N so illogical n biased u r, just saw the news n started condemning those who r in favo… https://t.co/hHZnjmXIB8"
Calling All Astronauts,"David CAA is on Facebook, if you'd like to be friends please follow this link https://t.co/OoTa6Q6q8l"
National News,Gunman fires at anti-CAA protest rally in Delhi | News National News https://t.co/bJIAGt2qLb https://t.co/ymgHpYbpm6
Andika,@adindacacabila Done caa
Careers360,"In front of dozens of Delhi Police personnel, man shoots at students protesting against CAA 
at Jamia Millia Islami… https://t.co/gDgMgjpsEO"
sushil Meena,"@sudhirchaudhary IF Union Ministers from the stage chants ""गोली मारो""
Then Result is here ..
Before they killed… https://t.co/LdRDCkQBCq"
