user,tweet
Vurhd letap,"@tavleen_singh This is was known that day after elections in #delhi #saheenbaghprotest will end, very mysterious!?"
Sortiwa,"WhatsApp now has 2 billion users  

By: Tech Desk | New Delhi |

Updated: February 12, 2020  8:39:58...… https://t.co/FwDGsvL5IM"
SKP,Over 50% newly-elected Delhi MLAs have serious criminal cases: ADR analysis - The Economic Times https://t.co/hgi2cJE3R3
urmi ⁷ hobiuary,"🗣️📢 ATTENTION DELHI ARMYS ❗

Any delhi armys interested in group order for MOTS : 7, please DM me so I can add you… https://t.co/MHyZatmZNI"
वी के सिंह,"@Sonu_Malwasiya Andhe ho kya sheen bag me desh
Drohi kam ho raha h
Pehle desh h ya kejriwal
Aaj Delhi me bhut badi… https://t.co/32aeTr21Lj"
सिंहSingh 2.0🇮🇳,"दिल्ली में चुने गए MLA में से 43 पर हत्या की साजिश, रेप जैसे गंभीर आपराधिक मामले दर्ज हैं: ADR रिपोर्ट… https://t.co/Q9UOt5RLb5"
kunal ahuja,"Dear @ArvindKejriwal 
As we all know coronavirus is a very aggressive in China 🇨🇳 &amp; some little cases also found in… https://t.co/TCZCwsfstE"
sntos,"Bihari babu
Delhi walo ne MLA chunavo me cong. Ki 70 me se 67 seat pr jmanajbt jbt krwa di aap kitni seat pr jmanajbt krwayenge."
Harish Hari,#Howmuchfree Is it really good for development and economic growth? Only poor needs welfare scheme's benefits. Idk… https://t.co/bUbkhcEpwU
Sandeep Tripathi,#howmuchfree Delhi govt. is going to become insolvency.
Imran Tamboli,Proud of #Delhipeopl ....agar delhi me #bjp jeet jaati to jo thode bahot ache politician hai wo bhi religion ki gan… https://t.co/bqVz7GSdKb
उड़ता तीर 🚀,"@nanditathhakur Even one vote lead is sufficient to win, with this rate it will take another 20 years to win Delhi.… https://t.co/XY087FkJFj"
V N ARYA,"#HowMuchFree

See Delhi Budget on the link

@ArvindKejriwal @RenukaJain6

Please file that case. He will ask BJP vo… https://t.co/phtrQAGaYG"
Avi Superstar,"Note👉delhi stretegy👉pahle congress virodh, negetive, aggressive hoti ti Or modi ji nice banke vote lete tee but AAP… https://t.co/DBUDJa1NJs"
S. Mukherjee,"@PChidambaram_IN If its so, then in last LS you got 0 seat..what does it mean?..Achieved Congress Mukt Bharat by Mo… https://t.co/c5tPKuFyJ6"
Mahesh AAP,"केजरीवाल का विनिंग फॉर्मूला आजमा रहे दूसरे राज्य, फ्री स्कीम की बरसात https://t.co/3PhHqezDYk via @aajtak

@AAPInNews"
amaanxmirzaa• SiD Hearts ❤,@justvoot Delhi ! #SidharthShukla #BB13OnVoot #AsliFans
Sailu,"@chitraaum Manish Sisodia - 3000+ margin
Amantullah Khan - 70,000+ margin

Now I am convinced that Delhi voted for… https://t.co/HIiJk9jswV"
News Nation,"5 साल में 10 लाख नौकरी, आधी आबादी को 15-15 लाख रुपये दे दीजिए, मैं हनुमान चालीसा पढूंगा: आसिम वकार,प्रवक्ता, एआईएमआ… https://t.co/topYe1AEsq"
Vishav Jain,"#HowMuchFree
Delhi voters will be ashamed if freebies will become trend and our economy destroyed."
JT,"@ppbajpai Aur ek sampadak Delhi k Malik k sath interview set karte hai, wo bhi hath me khaini ragdte huye . Keantikari, bahut hi Krantikari"
Lurker,@satyagodara @Graaamin Delhi ke jat Candidates ko vote dete Hain naa ki party ko. Mere Uttam Nagar me jats AAP ko s… https://t.co/gvaXCNSZyQ
HAMZA (#AsimFandomHits15M🏆WORLD RECORD),The lawyers for Nirbhaya convicts should be boycotted by the people of Delhi. They are trying to get footage on the… https://t.co/LYjgVbvVqq
Harsh Kumar حرش کمار,"Delhi Elections 2020 : 9 महीने में जीती Kejriwal ने हाथ से फिसलती बाजी !
Analysis 2

| #DelhiElectionResult2020… https://t.co/RzyUwNkcSO"
Teekam Singh,@SacchiSadhana Delhi ki haar me bhe bjp ki jeet he pahale jiyada seet aye hen apne kattar hinduo ne ladaye lade he
Viraj Nevrekar,"@FordaIndia since @AIIMSRDA  is officially AAP's  wing, do u think in case of any Delhi Hospital residents issues,… https://t.co/JOoVHG4DRA"
Neeraj sharma,"@maulanadehlavi @sudhirchaudhary Ye mugal kal ki suruwat hai....

Delhi ban gaya pakistan😂😂😂"
Buddhist Gagan,@Aap_Babarpur sir ji delhi k schools Mai sambidhan kbse padana suru karwa rahe ho
Rahul Singh Parihar,"हम @BJP4Delhi भले ही इस बार 7 सीट निकाल पाए हों, वोट प्रतिशत हमारा भड़ा है। 30-35 सीट ऐसी है जिनपर 2000 या उससे कम… https://t.co/PW2PgL5MIA"
Sanchit Sahu,"@geminianguddu @SumitSamal There is a MG road in Delhi which is not named after him. Meharauli Gurgaon Road, one of… https://t.co/FdNwZwoxKB"
RSR,"@republic #HowMuchFree
Fabulous Question asked by #ArnabGoswami ji which is in every won mind
ArnabJi 
👉I Ask… https://t.co/sQI4YUsB4F"
Zakir Najar,"Congratulations to AAP for kicking out BJP from Delhi 
Hope the  the situation in Kashmir will return to normal in comming days"
Lord Siva,"So, the mlecchas (infidels) won in Indraprastham (New Delhi). The sanathana dharm (vedic) ppl have to unite more st… https://t.co/i9tvGt5o77"
